"dataset","dataset_size","model_id","eps_targeted","delta","bs","epochs","lr","C","sampling_rate","sigma","trainable_parameters","training_loss","training_accuracy","test_loss","test_accuracy"
"CIFAR-10",50000,"DP-CNN",3,1e-05,4160,45,5.7765327480723,3.14948489635281,0.0832,2.7490234375,550570,1.94971283582541,0.351523266034296,1.90686187148094,0.364503205128205
"CIFAR-10",50000,"DP-CNN",3,1e-05,16992,25,5.92882382034702,0.818446371199392,0.33984,4.19921875,550570,1.7355153799057,0.404538458689498,1.69235801696777,0.4118
"CIFAR-10",50000,"DP-CNN",3,1e-05,24496,420,2.95459289049775,8.93379915640167,0.48992,16.5625,550570,2.52390411694845,0.216611448428523,2.56192421913147,0.2305
"CIFAR-10",50000,"DP-CNN",3,1e-05,33680,45,5.70687792074696,9.75877808298389,0.6736,6.73828125,550570,6.83865169378427,0.148680344212695,6.15646314620972,0.2278
"CIFAR-10",50000,"DP-CNN",3,1e-05,44976,325,7.10513005990455,4.16211601475382,0.89952,17.8515625,550570,2.45094580309732,0.279400761397379,2.45193219184875,0.283
"CIFAR-10",50000,"DP-CNN",3,1e-05,16048,40,9.82534652068321,3.54505304746344,0.32096,4.560546875,550570,4.67528197169304,0.229968147899396,4.24079799652099,0.2369
"CIFAR-10",50000,"DP-CNN",3,1e-05,17872,360,8.82635451344509,2.77181784403122,0.35744,15.3515625,550570,2.32691980997721,0.255101085243427,2.17817068099975,0.284
"CIFAR-10",50000,"DP-CNN",3,1e-05,43104,125,4.20607244683534,4.95120573824926,0.86208,11.09375,550570,1.78875040091001,0.427739806443352,1.80393350124359,0.4301
"CIFAR-10",50000,"DP-CNN",3,1e-05,35216,130,2.4902231746693,7.56709531182252,0.70432,11.328125,550570,1.94122752776513,0.367429626756022,1.84155720472336,0.3911
"CIFAR-10",50000,"DP-CNN",3,1e-05,18144,345,6.3630124378397,5.30126873612594,0.36288,15.0390625,550570,2.41902934710185,0.22869448235195,2.43644416332245,0.2392
"CIFAR-10",50000,"DP-CNN",3,1e-05,48272,170,5.51307465134379,6.95201162600024,0.96544,12.9296875,550570,3.13045937674386,0.27786636461473,2.87741565704346,0.2988
"CIFAR-10",50000,"DP-CNN",3,1e-05,28816,150,8.62866649238469,9.89651649096921,0.57632,12.1484375,550570,7.87519243785313,0.188090080231673,7.41767883300782,0.2195
"CIFAR-10",50000,"DP-CNN",3,1e-05,11440,315,3.75035454164568,5.55159178795816,0.2288,11.1328125,550570,2.24006395339966,0.254496305540743,2.24739444255829,0.2601
"CIFAR-10",50000,"DP-CNN",3,1e-05,9168,270,1.41618627313214,5.36644806108294,0.18336,9.43359375,550570,1.73404457834032,0.413256277289535,1.71009403467178,0.4289
"CIFAR-10",50000,"DP-CNN",3,1e-05,26576,170,6.57659519632247,7.25854920184632,0.53152,12.9296875,550570,2.71809015955244,0.248641472085428,2.80334877967834,0.2567
"CIFAR-10",50000,"DP-CNN",3,1e-05,48384,45,3.88285591176419,4.22993442676146,0.96768,6.73828125,550570,2.4753725528717,0.238190438167671,2.52855288982391,0.25
"CIFAR-10",50000,"DP-CNN",3,1e-05,6816,500,7.50851873283209,2.73726927513733,0.13632,11.09375,550570,2.72489202022552,0.179824817983608,2.55769729614258,0.2085
"CIFAR-10",50000,"DP-CNN",3,1e-05,23728,90,1.54884219551656,3.38334898428387,0.47456,7.734375,550570,1.29274146645157,0.589288985163363,1.30034959316254,0.5836
"CIFAR-10",50000,"DP-CNN",3,1e-05,29920,190,2.631984112901,3.3978603229558,0.5984,13.671875,550570,1.42833770238436,0.566063436878013,1.52159643173218,0.5506
"CIFAR-10",50000,"DP-CNN",3,1e-05,32928,320,1.43674336684494,9.41306290541567,0.65856,17.734375,550570,1.88336856024606,0.395988260655666,1.83375257253647,0.4061
"CIFAR-10",50000,"DP-CNN",3,1e-05,20928,345,0.421131192714212,0.959558161174922,0.41856,15.0390625,550570,1.59504010677338,0.475911609020208,1.58685976266861,0.4749
"CIFAR-10",50000,"DP-CNN",3,1e-05,25168,300,1.01362801920441,5.94365975195156,0.50336,17.1484375,550570,1.3715523821967,0.595094940930746,1.4202464222908,0.579
"CIFAR-10",50000,"DP-CNN",3,1e-05,27264,310,0.621742759158587,6.66254368904255,0.54528,17.421875,550570,1.13310807091849,0.656705966477934,1.26004552841187,0.6303
"CIFAR-10",50000,"DP-CNN",3,1e-05,44240,365,0.305381621653012,1.38233317594033,0.8848,18.90625,550570,1.63028436899185,0.445483395326313,1.61066925525666,0.4472
"CIFAR-10",50000,"DP-CNN",3,1e-05,39280,460,0.10888590534013,3.04125801852781,0.7856,21.2109375,550570,1.59735872915813,0.443455602589218,1.58470064401626,0.4453
"CIFAR-10",50000,"DP-CNN",3,1e-05,30576,225,0.259216948027752,4.56672523867997,0.61152,14.84375,550570,1.42279869318008,0.512209420697104,1.42648065090179,0.5161
"CIFAR-10",50000,"DP-CNN",3,1e-05,36528,65,4.5983081185553,3.08727697598177,0.73056,8.046875,550570,2.00765130611566,0.343687075127757,1.85874164104462,0.3783
