"dataset","dataset_size","model_id","eps_targeted","delta","bs","epochs","lr","C","sampling_rate","sigma","trainable_parameters","training_loss","training_accuracy","test_loss","test_accuracy"
"CIFAR-100",50000,"D121",7.5,1e-05,40944,100,1.42450118101512,0.979350080312724,0.81888,4.5654296875,7056356,4.01410391136092,0.108702395303062,4.00454732179642,0.1155
"CIFAR-100",50000,"D121",7.5,1e-05,41024,150,3.26763662417914,7.7662879315964,0.82048,5.5615234375,7056356,3.75076540792831,0.132134321442377,3.77614555358887,0.1345
"CIFAR-100",50000,"D121",7.5,1e-05,33280,175,6.40158575714521,9.28635137167915,0.6656,5.99609375,7056356,4.39467013965954,0.0360016078367536,4.40539658069611,0.039
"CIFAR-100",50000,"D121",7.5,1e-05,14144,450,1.24766846715476,1.37258822161631,0.28288,6.787109375,7056356,3.54949956655502,0.173865907266406,3.60580214262009,0.1676
"CIFAR-100",50000,"D121",7.5,1e-05,6304,400,2.04018933609087,9.17418888909663,0.12608,4.5556640625,7056356,3.62988446767514,0.155508382654091,3.53610681352161,0.173492446025583
"CIFAR-100",50000,"D121",7.5,1e-05,22480,480,0.198206804764221,8.58295030895399,0.4496,8.076171875,7056356,3.69946910440922,0.146111942373103,3.70797706567324,0.146991144380231
"CIFAR-100",50000,"D121",7.5,1e-05,15760,210,5.57583967183696,7.05599890992372,0.3152,4.677734375,7056356,4.29776051521301,0.0424589452907612,4.23195614814758,0.052
"CIFAR-100",50000,"D121",7.5,1e-05,6496,320,5.72076056146519,7.51958653024359,0.12992,4.091796875,7056356,4.62897109617138,0.0115803889481251,4.62679611719572,0.0134110036737789
"CIFAR-100",50000,"D121",7.5,1e-05,5728,295,9.45055139044182,4.2702883995937,0.11456,3.71826171875,7056356,4.61878910798293,0.0108969191702739,4.61720878344316,0.0114008818685427
"CIFAR-100",50000,"D121",7.5,1e-05,13776,460,2.15659892315209,4.26087674749816,0.27552,6.85546875,7056356,3.95292674940686,0.112102804688311,3.85976936266972,0.127606242526903
"CIFAR-100",50000,"D121",7.5,1e-05,48832,440,1.80810130921937,7.96112482199294,0.97664,9.453125,7056356,3.94004528783262,0.113613905117955,3.81815982781924,0.128808684568885
"CIFAR-100",50000,"D121",7.5,1e-05,21760,90,3.10189146533052,1.20854222876294,0.4352,3.583984375,7056356,3.63995921796606,0.153891325414289,3.59774669775596,0.163612038328683
"CIFAR-100",50000,"D121",7.5,1e-05,37584,290,1.52184246014801,2.62115596224366,0.75168,7.685546875,7056356,3.6199974892661,0.157378506641554,3.62713286509881,0.163494233260263
"CIFAR-100",50000,"D121",7.5,1e-05,39424,260,5.94621154543348,2.26091867762478,0.78848,7.28515625,7056356,3.55458914116025,0.171759917909471,3.56153915478633,0.174702840607148
"CIFAR-100",50000,"D121",7.5,1e-05,47984,70,1.45701705522195,6.94845832753265,0.95968,3.84765625,7056356,3.90660902205855,0.110976449337665,3.79285253928258,0.127513347781321
"CIFAR-100",50000,"D121",7.5,1e-05,34816,370,4.28098479847954,7.37108463964284,0.69632,8.671875,7056356,3.62138565257192,0.153400079302141,3.64123643820102,0.158298874053408
"CIFAR-100",50000,"D121",7.5,1e-05,27584,255,9.23153145862315,4.73549538363269,0.55168,7.216796875,7056356,4.5495937243104,0.0210882309654631,4.66280245780945,0.0218001652384748
"CIFAR-100",50000,"D121",7.5,1e-05,43456,225,0.211937931256934,3.44628958153362,0.86912,6.7822265625,7056356,3.87019565422088,0.132653210843219,3.91003599533668,0.124007219841902
"CIFAR-100",50000,"D121",7.5,1e-05,7040,180,4.25468357259122,9.39133880430067,0.1408,3.115234375,7056356,4.44767743349075,0.0268935690750304,4.45630223751068,0.0301950658625433
"CIFAR-100",50000,"D121",7.5,1e-05,4944,485,0.46211587986148,3.24666496784124,0.09888,4.28466796875,7056356,3.52209396307705,0.171710906474343,3.59240900345568,0.169235963439172
"CIFAR-100",50000,"D121",7.5,1e-05,23392,290,2.06943343839654,3.28109236256452,0.46784,6.298828125,7056356,3.87388598080724,0.119107285311032,3.77053714715517,0.137997479905673
"CIFAR-100",50000,"D121",7.5,1e-05,46336,315,5.65168532454398,3.66542829893286,0.92672,8.0078125,7056356,4.40532425127141,0.0429520350616263,4.28825369248023,0.0540035040520792
"CIFAR-100",50000,"D121",7.5,1e-05,15584,485,7.328258223767,1.44726632718519,0.31168,7.041015625,7056356,3.86270510168637,0.133420166459723,3.77521667113671,0.144102065896107
"CIFAR-100",50000,"D121",7.5,1e-05,10160,145,4.20066797942737,2.71530181697287,0.2032,3.5205078125,7056356,3.51348484307528,0.182972083774612,3.62851480795787,0.177100459180284
"CIFAR-100",50000,"D121",7.5,1e-05,21600,165,7.91745897266424,3.42067730213994,0.432,4.78515625,7056356,3.67407890330957,0.149214124996203,3.62336372412168,0.161906719144413
"CIFAR-100",50000,"D121",7.5,1e-05,272,435,5.34304654070728,5.01680787799092,0.00544,1.1846923828125,7056356,6.16987336718518,0.00940731980011171,4.74540794217909,0.0108536137947903
"CIFAR-100",50000,"D121",7.5,1e-05,9264,60,4.93377517271432,8.04286905287354,0.18528,2.16796875,7056356,4.24862712504817,0.0528302911167483,4.12692973727272,0.0670212015822441
"CIFAR-100",50000,"D121",7.5,1e-05,42640,265,1.90059474692733,3.33176233132773,0.8528,7.353515625,7056356,3.56134703270225,0.168466538389818,3.61592217592093,0.160794577022718
"CIFAR-100",50000,"D121",7.5,1e-05,18480,480,6.09534945969951,7.42843543315824,0.3696,8.076171875,7056356,4.61378633133089,0.018760608571873,4.57217257022858,0.019
"CIFAR-100",50000,"D121",7.5,1e-05,2768,495,5.34093799355977,0.542193083962527,0.05536,3.3251953125,7056356,3.54272418482262,0.176329963212068,3.51854761080308,0.187201901060161
"CIFAR-100",50000,"D121",7.5,1e-05,4640,40,1.64346625465164,0.250035686850147,0.0928,1.431884765625,7056356,4.15674005640615,0.0975171878443112,4.18423669988459,0.0881138975966562
"CIFAR-100",50000,"D121",7.5,1e-05,48048,145,8.05673841613202,1.77140273228386,0.96096,5.46875,7056356,3.65064567584617,0.152578697881479,3.64721237237637,0.150403339643948
"CIFAR-100",50000,"D121",7.5,1e-05,25216,340,7.31611129981239,3.31051335812132,0.50432,8.3203125,7056356,3.97634992214164,0.103182882388954,3.90116081237793,0.1131
"CIFAR-100",50000,"D121",7.5,1e-05,3184,65,3.63512072761073,9.70491016267759,0.06368,1.480712890625,7056356,4.07908288565549,0.0697601567067817,4.01169534163042,0.0874949458581066
"CIFAR-100",50000,"D121",7.5,1e-05,10096,245,7.89360627475134,9.50870821849251,0.20192,4.521484375,7056356,4.61585496902466,0.00953822252918349,4.61919460296631,0.0111
"CIFAR-100",50000,"D121",7.5,1e-05,37680,235,7.8060086065781,9.7132703739756,0.7536,6.93359375,7056356,4.58168109567249,0.0161583837921781,4.55407157311073,0.0193008295137505
"CIFAR-100",50000,"D121",7.5,1e-05,22944,425,3.04769953861666,3.01287518024734,0.45888,7.59765625,7056356,3.79204281171163,0.126239829265039,3.76088775579746,0.135192473761127
"CIFAR-100",50000,"D121",7.5,1e-05,24256,130,5.60058932509496,3.37883999906192,0.48512,4.267578125,7056356,3.63368404754485,0.161195909080497,3.59337095022202,0.1688
"CIFAR-100",50000,"D121",7.5,1e-05,10224,245,8.16100479107393,4.29798540661819,0.20448,4.521484375,7056356,4.45826139191324,0.0243510328705469,4.39187625738291,0.0356046358110801
"CIFAR-100",50000,"D121",7.5,1e-05,21232,235,3.61932860242893,2.57398630258186,0.42464,5.68359375,7056356,3.51254459583398,0.1781924796838,3.51189200878143,0.1826
"CIFAR-100",50000,"D121",7.5,1e-05,39312,40,4.8894899213646,6.73328440271041,0.78624,2.96142578125,7056356,4.45666963048279,0.0270239526098901,4.44710709498479,0.0341977215358044
"CIFAR-100",50000,"D121",7.5,1e-05,41696,65,7.17936348683303,7.87158386616023,0.83392,3.7158203125,7056356,4.49793687011256,0.0219705125277015,4.48601844310761,0.0262
"CIFAR-100",50000,"D121",7.5,1e-05,34608,455,6.89511250258839,1.21289648482611,0.69216,9.609375,7056356,3.77892747055739,0.135876728454566,3.75524065586237,0.139807630031885
"CIFAR-100",50000,"D121",7.5,1e-05,42784,300,6.68843049711167,8.75361607330397,0.85568,7.8173828125,7056356,4.59818218678844,0.0157016231149994,4.56687860488892,0.0239
"CIFAR-100",50000,"D121",7.5,1e-05,3888,230,6.3210390809646,9.32792727332258,0.07776,2.7783203125,7056356,4.67323199143777,0.0100660642235558,4.6375462214152,0.0110764887710373
"CIFAR-100",50000,"D121",7.5,1e-05,34400,245,2.30192666699867,9.44722953906186,0.688,7.0703125,7056356,3.79440783731865,0.132626484889366,3.75593625307083,0.1413
"CIFAR-100",50000,"D121",7.5,1e-05,16144,150,8.86385323086131,1.29955492550117,0.32288,3.9794921875,7056356,3.66713215025235,0.158659556787219,3.62170548163928,0.167601841703202
"CIFAR-100",50000,"D121",7.5,1e-05,30336,160,3.34809861557442,3.30850099652915,0.60672,5.7373046875,7056356,3.55519045287488,0.170187932429118,3.57303942166842,0.169013945629069
"CIFAR-100",50000,"D121",7.5,1e-05,39344,205,1.0392845324534,5.6561739875111,0.78688,6.4794921875,7056356,3.63509274974014,0.159472375644916,3.59526747465134,0.1673
"CIFAR-100",50000,"D121",7.5,1e-05,42496,130,3.15286482288715,3.00073104542061,0.84992,5.185546875,7056356,3.610575429131,0.16169635075812,3.59835448173376,0.164207291251495
"CIFAR-100",50000,"D121",7.5,1e-05,10864,245,5.47401518833624,8.38803023146371,0.21728,4.521484375,7056356,4.60488243103027,0.0165480911715817,4.54677429199219,0.0235
"CIFAR-100",50000,"D121",7.5,1e-05,35712,365,0.377644013480335,8.53376946728852,0.71424,8.61328125,7056356,3.51792282704264,0.173640011057456,3.55793110682414,0.173709541483991
"CIFAR-100",50000,"D121",7.5,1e-05,41584,275,0.0251083079053539,0.265952765235368,0.83168,7.490234375,7056356,4.66631651479144,0.00946590323666735,4.66385180216569,0.00979857928125415
"CIFAR-100",50000,"D121",7.5,1e-05,8144,170,8.57708161232837,0.0348500526954339,0.16288,3.232421875,7056356,3.84061720666959,0.137421599959942,3.90482748013276,0.122643952788038
"CIFAR-100",50000,"D121",7.5,1e-05,3120,425,8.38412109371622,7.26739969555738,0.0624,3.26171875,7056356,4.68817713191208,0.0100484016486623,4.63611418267955,0.0103148939933973
"CIFAR-100",50000,"D121",7.5,1e-05,35632,95,3.5500142291214,7.23246540078567,0.71264,4.453125,7056356,4.32405236789158,0.0538274954490869,4.22247540950775,0.076
"CIFAR-100",50000,"D121",7.5,1e-05,19824,85,4.23168668733733,4.75360959779121,0.39648,3.486328125,7056356,3.83251308930987,0.123800116283469,3.84031619933935,0.125612378769762
"CIFAR-100",50000,"D121",7.5,1e-05,31808,340,8.74768293609969,0.388679383366209,0.63616,8.3203125,7056356,3.51988976585622,0.175930482783468,3.55689409971237,0.1702
"CIFAR-100",50000,"D121",7.5,1e-05,30400,370,6.65095683335689,7.77579235331695,0.608,8.671875,7056356,4.59573296070099,0.0155206950777756,4.57497344017029,0.0211
"CIFAR-100",50000,"D121",7.5,1e-05,32160,65,4.39086128115998,0.499650439116693,0.6432,3.7158203125,7056356,4.09236520715058,0.0923776200979004,3.98283742482846,0.109710251428192
"CIFAR-100",50000,"D121",7.5,1e-05,12096,455,5.36953724067453,3.09339530799386,0.24192,6.11328125,7056356,3.46943517923355,0.191912117946654,3.48353598117828,0.1981
"CIFAR-100",50000,"D121",7.5,1e-05,32832,495,9.00485718739108,4.68538749174246,0.65664,10.01953125,7056356,4.4421585141396,0.0289084574938097,4.48063759803772,0.0317
"CIFAR-100",50000,"D121",7.5,1e-05,5712,225,2.75556480781785,2.72492260396983,0.11424,3.271484375,7056356,3.38160590407471,0.213372431620147,3.40017300385695,0.215034812654372
"CIFAR-100",50000,"D121",7.5,1e-05,48560,165,9.74242521709593,6.37475033975499,0.9712,5.8251953125,7056356,4.57743109017611,0.0135646931998414,4.55032642988058,0.0233004932243922
"CIFAR-100",50000,"D121",7.5,1e-05,14112,70,4.8130000211444,6.26036123441612,0.28224,2.7880859375,7056356,4.03484398365021,0.0870547176746915,3.96608607769012,0.0979
"CIFAR-100",50000,"D121",7.5,1e-05,11584,190,5.47079668994461,2.96607983599481,0.23168,3.9990234375,7056356,3.52282934427261,0.181693285975324,3.57142454385757,0.1807
"CIFAR-100",50000,"D121",7.5,1e-05,10128,205,6.37263491781895,5.14797801894775,0.20256,4.150390625,7056356,3.69028812646866,0.137138634445622,3.6623636007309,0.1516
"CIFAR-100",50000,"D121",7.5,1e-05,11856,170,8.86486354144957,5.48270997752627,0.23712,3.7939453125,7056356,4.59441201935404,0.0155489326762767,4.58922110154079,0.0244012181147868
"CIFAR-100",50000,"D121",7.5,1e-05,25088,240,4.11501598345105,6.70562820132704,0.50176,7.001953125,7056356,3.58356676053028,0.165570943735877,3.57249404191971,0.1679
"CIFAR-100",50000,"D121",7.5,1e-05,8064,465,8.10256866189726,5.69523284721165,0.16128,5.234375,7056356,4.63522278752308,0.0111675336040456,4.64592090936807,0.0123010929981962
"CIFAR-100",50000,"D121",7.5,1e-05,27824,290,3.07899924866586,5.5264750182815,0.55648,7.685546875,7056356,3.49843226403606,0.186913487298296,3.48728561401367,0.1895
"CIFAR-100",50000,"D121",7.5,1e-05,15936,290,7.28606892801087,6.09905314307874,0.31872,5.46875,7056356,4.62425074726343,0.0120600060875857,4.58600845703712,0.021602958516009
"CIFAR-100",50000,"D121",7.5,1e-05,9008,460,1.56061507862479,0.824668091477017,0.18016,5.615234375,7056356,3.52046081169631,0.173209283629083,3.5814793247443,0.168509305800779
"CIFAR-100",50000,"D121",7.5,1e-05,40816,70,3.70760258056079,8.14611951818991,0.81632,3.84765625,7056356,4.24954495285497,0.0574526517389196,4.20794460773468,0.0644
"CIFAR-100",50000,"D121",7.5,1e-05,43472,385,7.12674416959603,4.85395203730451,0.86944,8.84765625,7056356,4.05563471177045,0.0763995854752157,4.04764416584602,0.0827967234622027
"CIFAR-100",50000,"D121",7.5,1e-05,22704,485,6.8607629545402,1.12470562680812,0.45408,8.115234375,7056356,3.73040017750272,0.151226229639863,3.63344101263927,0.161411626478012
"CIFAR-100",50000,"D121",7.5,1e-05,33504,270,3.71672572459641,0.670668301521566,0.67008,7.421875,7056356,3.45201016400111,0.189386962059638,3.49272490006227,0.185001183240335
"CIFAR-100",50000,"D121",7.5,1e-05,7968,50,4.64023602869507,9.33205099358811,0.15936,1.87744140625,7056356,4.30778021228557,0.0464044656841317,4.22757658958435,0.0561786516143313
"CIFAR-100",50000,"D121",7.5,1e-05,17760,205,8.17169188017205,5.59700386710046,0.3552,5.3173828125,7056356,4.53959142230451,0.0201833360169712,4.50760636879848,0.022804362627873
